1929 ou 1989 ?	1929年还是1989年?
La force politique du fondamentalisme religieux tient en grande partie à l'augmentation du nombre de fondamentalistes dans la population.	原教旨主义的大部分政治力量来源于原教旨主义者在人口中的比例增长。
Cette évolution démographique s'observe non seulement dans le monde musulman, mais aussi en Israël.	这种人口上的变化不仅发生在穆斯林世界中，也发生在以色列。
D'une démocratie de culture juive, Israël s'est lentement transformé en une démocratie dominée par la religion.	以色列正在慢慢地从一个犹太文化的民主国家变成一个被宗教所控制的国家。
Par exemple, la communauté ultra-orthodoxe des Haredi s'accroît à un rythme tellement rapide qu'elle redéfinit le paysage politique israélien.	哈瑞迪超正统宗教的教民人口正在高速增长，其速度之高，足以能重新定义国家的政治格局。
Selon les statistiques officielles, les femmes appartenant à cette communauté ont en moyenne 7,6 enfants, presque le triple de la moyenne nationale.	根据以色列的政府统计数字，每个哈瑞迪犹太妇女平均生育7.6个孩子，几乎是整个国家平均生育率率的三倍。
Parmi les 120 membres de la Knesset, 20 sont des ultra-orthodoxes (tous des hommes), contre cinq il y a 20 ans.	以色列议会的120个成员中，有20位（全部为男性）信奉，而几十年前仅有五位。
Le nombre de leurs partisans étant à la hausse, les ultra-orthdoxes devraient être de plus en plus nombreux à la Knesset.	以色列议会中的超正统宗教的人数预计将随着他们选民数的成倍增长而更趋增加。
Etant donné les divisions qui caractérisent le paysage politique israélien, cela pourrait permettre aux partis religieux d'exercer une pression significative sur le gouvernement.	在以色列典型的分割状的政治格局中，这种情况可以让有组织的宗教政党对政府施加巨大影响力。
Au même moment, beaucoup d'Israéliens éduqués et laïques choisissent d'émigrer, à la recherche d'une vie à l'abri de conflits incessants.	同时，许多受过教育和无宗教色彩的以色列人正选择移民他国，以追求没有永无休止的冲突的生活。
On estime à environ un demi-million (dont le quart est constitué d'universitaires réputés) le nombre d'Israéliens qui résident aux USA.	据统计，50万的以色列人目前居住在美国，这其中包括了以色列25%的顶尖学者。
Rien que dans la Silicon Valley, ils sont 40 000.	事实上，仅在硅谷，就居住了4万以色列人。
Cette émigration accélère indirectement l'évolution démographique d'Israël au profit de la droite religieuse.	这些移民也间接地加速了以色列人口结构的变化，这种变化而使宗教右翼获益。
On entend dire parfois que l'attirance pour l'ultra-orthodoxie exprime le rejet de la tradition libérale occidentale.	有些人认为皈依超正统教就是对西方自由主义传统的摒弃。
Le respect des règles religieuses exige d'importants sacrifices sur le plan social et financier.	遵守教义需要作出严肃而认真的社会和经济上的牺牲。
Beaucoup d'hommes suivent une formation religieuse dans des yechivas (écoles juives orthodoxes d'enseignement supérieur) jusqu'à l'âge de 40 ans et de ce fait n'acquièrent pas les connaissances nécessaires sur le marché du travail qui n'a rien de religieux.	许多男子在40岁前一直在YESHIVEAS（犹太正教教会高等学府）就读，这样就没法积累可以用于世俗生活市场的宝贵的人力资本。
L'augmentation de leur nombre pourrait finir par exercer une tension sur l'économie du pays.	当这些人的数量不断增加时，其对于以色列经济的负面影响也在不断增加。
Beaucoup des meilleurs cerveaux quittant le pays, Israël pourra-t-il rester intégré dans une économie de plus en plus mondialisée ?	事实上，在以色列众多的精英离开母国的情况下，以色列还能保持与日益全球化的经济融合吗？
Avec l'évolution démographique en cours, les responsables politiques israéliens doivent faire face à une situation problématique.	随着人口结构的不断变化，以色列的决策者们必须应付棘手的新的现实。
La forte natalité chez les ultra-orthodoxes israéliens a des conséquences sur les décisions politiques liées au processus de paix avec les Palestiniens.	以色列的超正统教教民的高出生率也正在对巴勒斯坦的和平进程的政治决策产生直接影响。
La plupart des 200 000 colons de Cisjordanie sont extrêmement religieux. Ils considèrent que leur présence à cet endroit répond à l'exigence d'une autorité supérieure à celle du gouvernement israélien.	在约旦河西岸的20万居民中的大多数都是极端宗教分子，他们认为他们居住在约旦河西岸是对权威的责任，这种权威比以色列政府所代表的权威更高。
Tant la droite religieuse israélienne que le Hamas à Gaza estiment que la croissance démographique joue en leur faveur, ceci malgré la rareté des différentes ressources.	以色列的宗教右翼和加沙的哈马斯都相信他们不断膨胀的人口是一种力量的源泉，尽管他们缺乏其它资源。
Aucun de ces deux groupes n'a la notion de la négociation et du compromis.	这两个组织所共同缺乏的是协商和让步的理念。
C'est pourquoi, aussi inquiétantes soit la perspective d'un Iran détenteur de l'arme nucléaire – pour le monde, pour Israël et pour les régimes arabes sunnites tels que l'Arabie saoudite et l'Egypte – une "bombe" iranienne serait sans doute plus facile à gérer que les bombes à retardement démographiques en Israël et chez ses voisins immédiats.	结果是，无论伊朗将来拥有核武器的前景 - 对世界、对以色列、对逊尼派阿拉伯地区的国家如沙特阿拉伯和埃及 - 可能会是多么地危险，伊朗的“炸弹”比起威胁以色列和它近邻的这颗人口结构的定时炸弹可能要更容易驾驭。
Il va bient��t être trop tard.	时间已经很紧迫了。
La démographie donne un nouveau visage à Israël et au Moyen-Orient.	人口问题正在改变着以色列和中东。
Des croyants exaltés se présentent comme les représentants locaux du Tout Puissant sur Terre.	狂热的宗教信仰者们正在宣称他们就是地球上“神”的代表。
Une nouvelle race de combattants de Dieu marginalise les dirigeants nationaux laïques.	新一代的神圣的勇士们正在把非带有宗教色彩的国家领袖们边缘化。
En général, les dirigeants d'inspiration divine ne conduisent pas l'humanité vers des chemins propices. Et ceux d'aujourd'hui ne sont en rien différents.	受神启示的统治者通常都不能引领人类走上繁荣美好的康庄大道，当今的他们也毫不例外。
	
Vie de chien	犬类杂谈
GAINESVILLE, FLORIDA – Il y a environ 70 millions de chiens domiciliés chez les humains aux Etats-Unis, et ils sont 10 millions de plus que les enfants de moins de 15 ans.	佛罗里达州盖恩斯维尔 — — 美国约有7000万条狗生活在人类家庭中，比15岁以下儿童还多1000万。
La proportion est identique à celle que l’on trouve dans les autres pays occidentaux.	其它欧洲国家的情况也大体相似。
40% de ces chiens familiers sont autorisés à dormir dans le lit de leur maître.	约有40%的狗狗可以睡在主人的床上。
Comment les chiens en sont-ils venus à prendre une place aussi intime dans nos vies?	犬类是如何在我们的生活中获得如此亲密的地位的？
Une théorie veut qu’au cours des milliers d’années qu’ils ont passées à côtoyer les hommes, les chiens se seraient mis au diapason de leurs façons de penser.	一种理论认为在与人类共同生活的几千年中，它们已经熟悉了人类的思维方式。
Il est vrai qu’ils sont extraordinairement réceptifs au comportement humain.	当然，犬类对于人类行为的敏感性的确令人惊叹。
Les chiens sont capables de trouver de la nourriture cachée, grâce aux gestes des hommes, et de leur indiquer par leurs mouvements où se cache un jouet.	犬类可以按照人类手势的指向找到隐藏的食物，它们还能成功地利用指向性动作来暗示主人玩具藏在何处。
Dans certaines circonstances, les chiens comprennent qu’une personne qui ne peut pas les voir (parce que, par exemple, elle a les yeux bandés) sera moins encline à répondre au quémandage d’une gourmandise, que quelqu’un dont les yeux ne sont pas couverts.	在某些情况下，犬类知道看不见它们的人（例如因为她的双眼被蒙住）与视力没有受到影响的人相比不太容易对它们想要美味食物的恳求做出反应。
Si leur maître reste sur place, les chiens sont également plus disposés à obéir à son ordre de ne pas prendre quelque chose qu’ils désirent, que s’il s’en va.	犬类在主人待在屋内的情况下更有可能服从不许动某些让它感兴趣的东西的命令。
Mais de là à mettre les facultés canines sur le même plan que l’intelligence humaine, il n’y a qu’un pas, qui glisse un peu rapidement sur une foule de façons de fonctionner des unes et de l’autre.	但将犬类的智慧和人类的智慧等同起来的观点掩盖了犬类和人类行为的许多细节。
Les processus de l’évolution ne déterminent jamais deux fois la même forme d’intelligence – même si les mêmes problèmes mènent aux mêmes solutions.	同样形式的智慧在进化中永远不会出现两次 — — 尽管相似的问题可能带来相似的解决方法。
Comme le savent généralement les gens qui ont adopté de jeunes chiens, il faut beaucoup de temps à un chien pour s’adapter au comportement de son maître.	多数小狗的主人都知道，我们需要付出时间和关爱才能让狗学会人类的行为方式。
Quand on est en colère, on n’a pas, littéralement, les poils qui se dressent, et quand on se fait de nouveaux amis, on ne se renifle pas nécessairement le derrière.	我们生气时不会竖起颈部的毛，在交新朋友的时候也不会去嗅对方的后背。
Les chiens, eux, ne gesticulent pas avec leurs pattes de devant, et ne recourent pas non plus à une grammaire élaborée, quand ils essaient d’expliquer les choses.	而犬类也不会用前爪打手势，或者使用复杂的语言语法试图解释问题。
Nos observations nous ont permis de voir qu’au cours des cinq premiers mois, les gens trouvent les chiens quelque peu impénétrables, et que, pour ce qui est de comprendre les êtres humains, les chiens de notre fourrière locale accusent de gros retards sur les chiens domestiques.	在研究中我们发现犬类在出生后的头五个月感觉人类在某种程度上非常神秘，而我们当地收容所里面的狗狗在理解人类方面大大落后于家养的犬类。
Alexandra Horowitz, du Barnard College de New York, s’est penchée, dans une étude récente, sur le “dialogue de sourds” qui survient parfois entre hommes et chiens.	纽约巴纳德学院Alexandra Horowitz最近的研究强调了人类和犬类之间有时会“自说自话 ” 。
Elle a demandé à des maîtres d’interdire à leur chien de prendre un biscuit, puis de quitter les lieux un court laps de temps.	Horowitz要求主人禁止他们的狗狗吃掉饼干，然后很快地离开房间。
A leur retour, une partie d’entre eux a appris que leur chien s’était mal conduit et avait mangé le biscuit défendu, et les autres, que leur chien avait été sage et n’avait pas touché au biscuit.	当主人几分钟后再次进屋时，有人被告知他们的狗狗非常淘气，吃掉了被禁止触碰的食物。 另外一些人被告知他们的狗狗表现良好，没有再去碰那块饼干。
A ceux dont le chien s’était montré désobéissant, il a été accordé un petit moment, afin qu’ils châtient l’animal pour son forfait.	如果狗狗表现不好，Horowitz给主人留出时间严厉批评它们刚才的错误。
Enfin, on a demandé aux maîtres si leur chien avait pris, ou non, un air coupable.	而后研究人员询问主人狗狗是否表现出愧疚的样子。
L’astuce, c’est que l’on n’a donné les bonnes informations qu’à la moitié des maîtres.	故事的曲折之处在于只有一半的主人被告知了正确的信息。
Tantôt Horowitz a dit au maître d’un chien qui n’avait pas touché le biscuit, qu’il n’y avait pas résisté, et tantôt elle a affirmé au maître d’un chien qui avait désobéi, qu’il avait été sage.	在半数情况下，Horowitz告诉实际没有去碰饼干的狗主人他的狗狗把饼干吃掉了。 还有半数情况下淘气狗狗的主人被告知他的狗狗表现良好。
En demandant à chacun des maîtres si son chien avait eu l’air coupable, ce subterfuge a permis à Horowitz de vérifier si la déposition du maître faisant état de “l’air de culpabilité” corroborait ou non les faits – à savoir que le chien avait pris le biscuit défendu – ou si sa déclaration ne trahissait rien d’autre que la correction infligée par le maître à son chien.	这个小小欺骗的目的在于当Horowitz询问每位狗主人他们的狗狗看上去是否愧疚时，她可以藉此了解主人报告的“愧疚之情”与事实真像 — — 狗狗是否吃掉了被禁止触碰的食物 — — 之间究竟有没有关系。 或者这种愧疚不过是主人严惩爱犬所造成的反应。
Les réponses ont très clairement montré que “l’air de culpabilité” du chien n’apparaissait que si l’animal avait été réprimandé: l’air n’avait rien à voir avec une quelconque faute du chien.	结果表明犬类之所以表现出“愧疚之情”完全是因为它遭到了训斥：那种表情与狗狗是否真的做了错事没有一点关系。
Cela ne signifie pas que nous n’ayons pas à corriger nos chiens (ou à les féliciter).	这并不是说我们不应该惩罚狗狗（或者表扬他们 ） 。
Ni qu’il nous soit interdit de les aimer – ou d’éprouver de temps en temps de l’exaspération à leur égard.	这也不是说我们不应该爱我们的狗狗 — — 或者某些时候对它们感到生气。
Tout ce que cela signifie, c’est que si nous voulons nous entendre avec une autre espèce, jusqu’au plus privé de notre vie, nous devons reconnaître que nos modes de raisonnement préférés ne sont pas les leurs.	这件事的全部含义是，如果我们想要在最亲密的环境中与另外一个物种和平共处，我们必须意识到有些时候它们并不理解我们所习惯的推理方式。
Nous devons essayer de comprendre les chiens selon leurs règles, et les aider à nous comprendre.	我们必须理解狗狗自己的想法，并帮助它们理解我们自己。
	
L'opposition djihadiste en Libye	利比亚的圣战少数派
DOHA - « Ils sont armés, je ne vais pas combattre en pure perte et faire tuer mes hommes pour un sanctuaire en ruines », a déclaré l'ancien ministre intérieur libyen Faouzi Abdelali, avant sa « démission » en août dernier.	发自多哈 — — 利比亚前内政部长法齐·阿卜杜拉·阿里(Fawzi Abd al - ‘ Aali)在其去年八月“辞职”前宣称 ： “ 对方全副武装，我不会为了一座倒塌的神殿打一场毫无胜算的仗，让自己的弟兄丧命 。 ”
Il faisait référence à des groupes armés salafistes accusés de détruire des sanctuaires soufis.	他所提到的“对方”是那些被控毁坏了伊斯兰苏菲派神殿的沙拉菲武装组织。
L'un des groupes accusé était la Brigade Ansar al-Sharia, qui a rapidement apporté son soutien à la démolition, mais a nié toute responsabilité.	其中一个组织是安萨尔·沙里亚旅（Ansar al-Shariah Brigade，阿拉伯语意为“教法支持者 ” ） — — 它在第一时间表示了对拆毁苏菲派神殿的支持，却拒绝对此事承担任何责任。
Ahmed Jibril, ambassadeur adjoint de la Libye à Londres, accuse à présent la Brigade dirigée par Mohammed Ali el-Zahawy, d'avoir perpétré l'attentat contre le Consulat américain à Benghazi, qui a tué l'ambassadeur américain Christopher Stevens et trois autres membres du personnel des États-Unis, ainsi que des gardes libyens.	利比亚驻英国副大使艾哈迈德·贾比尔（Ahmed Jibril）指控是穆罕默德·阿里·扎哈维（Muhammed Ali Al-Zahawy）率领的安萨尔·沙里亚旅袭击了班加西的美国领事馆 — — 这场袭击杀死了美国大使克里斯托夫·史蒂文斯 （Christopher Stevens ） 、 另外三名美国大使馆工作人员以及若干利比亚守卫。
D'autres personnes ont rapidement adopté et promu l'allégation de Jibril.	其他人则迅速接受了贾比尔的说法并加以宣扬。
Mais la situation est plus complexe.	但是实际情况比这复杂得多。
La Brigade a nié toute responsabilité dans une déclaration écrite, ainsi que dans un bref entretien avec son porte-parole, qui était alors chargé de la surveillance de l'hôpital d'Al Jala à Benghazi.	该组织在一份书面声明以及与其发言人 — — 该发言人当时负责班加西艾尔杰拉医院（Al JalaHospital）的保卫工作 — — 进行的采访中否认对这次袭击负责。
Comme lors de sa déclaration sur la destruction des sanctuaires soufis, la Brigade a nié toute implication dans l'attentat contre le Consulat américain, mais a souligné la gravité de l'insulte contre le Prophète censée avoir déclenché l'attentat.	一如它在苏菲派神殿事件上所做的声明那样，该组织否认参与对美国领事馆的袭击，并强调引发此次袭击的主要是侮辱先知的行为。
La Brigade a aussi attiré l'attention du public en juin dernier, quand près de 300 membres armés ont organisé un rassemblement à Benghazi, en suscitant l'indignation parmi les Libyens. « Nous avons voulu envoyer un message aux membres du Conseil National Général », a déclaré Hashim el-Nawa, l'un des commandants de la Brigade. « Ils ne doivent pas toucher à la charia.Elle doit être placée au-dessus de la Constitution et non pas devenir un article dans un référendum. »	这个组织在去年六月也引起过公众的注意 — — 300名全副武装的成员在班加西游行，煽动利比亚人民的愤怒情绪。 该组织指挥官之一哈希姆·那瓦（Hashim Al-Nawa）的说法是 ， “ 我们想要给全国委员会成员传达一条信息，他们不应该触碰伊斯兰教法。
	伊斯兰教法应该凌驾于宪法之上，不能作为（宪法）全民公决项目的其中一条 。 ”
Mais la Brigade Ansar al-Sharia était-elle vraiment derrière l'attentat contre le consulat américain ?	可安萨尔·沙里亚旅真的是袭击美国大使馆的幕后黑手吗？
La nature des forces armées postrévolutionnaires islamistes armées en Libye ne va vraiment pas de soi.	利比亚后革命时代的伊斯兰武装力量的本质决不是这么简单就可以理解的。
Le Jihad salafiste n'est pas une organisation, mais une tendance idéologique fondée sur la croyance selon laquelle les tactiques armées de toutes sortes sont les méthodes les plus efficaces - et, selon certaines versions, les plus légitimes - du changement social et politique.	沙拉菲圣战主义并不是一个组织机构，而是一个基于“各种形式的武装斗争策略都是最有效的 — — 在某些说法中也是最具合法性的 — — 社会和政治变革方式”这一核心信念的思潮。
L'année dernière, ses adhérents ont joué un rôle important dans la révocation du dictateur brutal de la Libye, le Colonel Mouammar Kadhafi.	去年其追随者在推倒残暴的独裁者穆阿迈尔·埃尔·卡扎菲（Muammar el-Qaddafi）上校一事上的确起了很重要的作用。
Beaucoup de ces tendances ont ensuite mûri politiquement, ont révisé leur vision du monde et sont passées d'un activisme armé à un activisme désarmé, en formant des partis politiques et en contestant les élections.	很多人之后都在政治上成熟起来并修正了自身的世界观，从武装转变为非武装行动，组建政党并参加选举。
Le Groupe Combattant Islamique Libyen a produit par exemple deux principaux partis politiques.	例如，利比亚伊斯兰战斗组织（LIFG）已经产生了两个主要的政党。
Al Watan (La Patrie) est dirigé par l'ancien GICL et commandant du Conseil militaire de Tripoli Abd el-Hakim Belhaj.	祖国党（Al Watan）由前利比亚伊斯兰战斗组织及黎波里军事委员会的指挥官阿卜杜·哈金姆·贝勒哈吉（Abd al-Hakim Belhaj）领导。
L'autre, Al Umma al-Wasat (The Nation centrale), est dirigé par Sami al-Saadi, ancien idéologue en chef du groupe, et Abd al-Wahad Qaid, un commandant militaire du GICL et frère du défunt commandant d'Al-Qaïda Qaid Hasan (Abou Yahya al-Libi).	另外一个中央国家党（Al Umma al-Wasat )由该组织前首席思想家萨米·萨阿迪（Sami al-Saadi）以及军事指挥官 — — 同时也是已故基地组织指挥官哈桑·卡伊德(化名Abu Yahya al-Libi)的哥哥��—阿卜杜·瓦哈德·卡伊德（Abd al-Wahad Qaid）共同领导。
Les deux partis ont fait piètre figure lors de l'élection d'un nouveau Congrès général national en juillet, où Qaid a remporté un seul siège.	两个政党在七月新国民议会的选举中都表现欠佳 — — 仅仅以瓦哈德赢得一席告终。
En effet, les élections du Congrès Général National ont été à bien des égards une défaite pour les partis non-violents salafistes de Libye (comme Al Asala), ainsi que pour les post-djihadistes.	的确，这次国民议会选举在很多方面对利比亚非暴力沙拉菲政党（比如阿沙拉）以及后圣战主义者来说都是一个打击。
D'autres formations islamistes armées, dont les groupes salafistes, ont accepté d'être intégrées aux nouvelles institutions de l'Etat libyen, comme le Comité Suprême de Sécurité (Ministère de l'Intérieur) et la Force du Bouclier libyen (Ministère de la Défense).	其他伊斯兰武装组织 — — 包括沙拉菲组织 — — 都愿意被整合进利比亚新的国家机构，比如最高安全委员会（内政部）以及利比亚防御力量（国防部 ） 。
La Garde nationale, dirigée par le chef adjoint du GICL, Khaled al-Sharif, a absorbé plus de 30 brigades, la plupart du temps en provenance de l'Ouest et du Sud-ouest.	由前LIFG副统帅卡勒德·沙里夫（Khaled al-Sharif）领导的国民警卫队则吸收了主要来自西部和西南地区的30多个武装组织。
Mais plusieurs formations armées, comme Ansar al-Sharia et les Brigades du Cheikh Omar Abd al-Rahman Emprisonné, rejettent encore la transition vers les partis politiques et vers l'intégration dans les institutions d'Etat.	然而有几个武装组织，比如安萨尔·沙里夫组织（Ansar al-Shariah）及现今仍在狱中的奥马尔·阿卜杜·拉赫曼（Omar Abd al-Rahman）的队伍仍然拒绝向党派政治过渡，也不愿意被整合到国家机构中。
Ces organisations sont nombreuses, mais petites.	这样的组织有很多，但规模都很小。
Certains n'ont pas été invitées à adhérer à des organismes officiels (ou bien on ne leur a pas donné une incitation suffisante).	有一些没有被邀请 — — 或者给予足够的激励 — — 去加入官方体系。
« Personne ne nous a demandé de rejoindre l'armée ou la police », explique Sufian ben Qumu, commandant d'Ansar al-Shariah à Derna et ancien détenu de Guantánamo, dans un entretien en avril dernier. « Ils ne m'ont même pas donné de récompense pour avoir combattu, ni à moi ni à aucun de mes hommes. » Ben Qumu entraîne une petite formation paramilitaire dans la forêt Bou Musafir dans la périphérie de Derna.	在去年四月的一个采访中，德尔纳地区的安萨尔·沙里夫组织指挥官，前关塔纳摩监狱囚犯苏菲安·本·库目（Sufian bin Qumu）说 ： “ 没有人叫我们加入军队或警队 ” ， “他们甚至没有给我或我的部下一点参加战斗的报酬 。 ” 本·库目在德尔纳郊区的布穆萨尔森林里有一个的准军事力量训练基地。
Il insiste sur le fait que si la direction des éclaireurs ou les chefs de clans de la ville lui demandaient de dissoudre le camp d'entraînement, il le ferait.	他坚持认为即使童子军的头或城市的宗族首领下令要求他遣散该训练营，他也一定会照办的。
La mort tragique de Stevens et de ses collègues a suscité une grande indignation du public en Libye, ajoutant à l'isolement et à la dé-légitimation des groupes armés.	史蒂文斯及其同僚的惨死已经在利比亚引起了众怒，也因此加快了对武装组织的孤立及去合法化。
Des dizaines de groupes de militants libyens ont mis en ligne des vidéos rendant hommage à Stevens, ainsi que des déclarations contre le terrorisme et contre Al-Qaïda.	许多利比亚激进主义组织上传了向史蒂文斯致敬的视频并发表了反对恐怖主义和基地组织的声明。
L'un des sites Internet des Frères musulmans contient une telle déclaration, et le Grand Moufti de Libye, le Cheikh Sadeq el-Gheriani, a également condamné l'attaque.	穆斯林兄弟会的其中一个网站里就有一个这样的声明，而利比亚的大穆夫提 — — 萨德克·盖里亚尼（Sadeq al-Gheriani）也谴责了这次袭击。
Deux questions restent essentielles en Libye pour prévenir de futures tragédies.	有两个问题对于防止这类悲剧在利比亚重演极为关键。
La première est la nécessité de capitaliser sur le soutien du public et de poursuivre le processus de désarmement, de démobilisation et de réinsertion qui a débuté sous le Conseil National de Transition, mais qui n'a jamais été mené à son terme.	一个是它需要利用公众支持继续裁军，遣散武装组织并且重新整编 — — 这个进程由全国过渡委员会发起但从未完成过。
Deuxièmement, le gouvernement doit améliorer sa stratégie de communication.	第二个是政府必须改善其沟通策略。
Les gouvernements du Printemps arabe ont condamné le film scandaleux insultant le Prophète de l'Islam, mais ils auraient dû souligner que les organismes américains officiels et officieux n'avaient rien à voir dans la production du film.	阿拉伯之春后诞生的政权都谴责抹黑伊斯兰先知穆罕默德的离谱电影，但他们本应该同时强调美国官方及非官方组织与这部电影的制作没有任何关系。
La punition collective et le ciblage des innocents est interdit dans plus de 20 versets du Coran : « Aucune personne chargée d'un fardeau (de péchés) ne doit porter le fardeau (des péchés) d'autrui » (L'Étoile, 53:38).	《古兰经》里有不止20行经文禁止集体惩罚以及攻击无辜者 ： “ 一个负罪的人，不负别人的罪 ” （ 53：38）
	
L’ombre de la Libye sur les fonds souverains	主权财富基金头上的利比亚阴影
NEW YORK - Alors que les citoyens de libyens reconstruisent leur vie et leur économie, le démantèlement de la corruption dans la Libyan Investment Authority (LIA), le fonds souverain dans lequel le régime de Mouammar el-Kadhafi aurait caché et abusé de la richesse pétrolière de la Libye, est devenu une priorité.	纽约 — — 随着利比亚人民重建他们的生活和经济，消除利比亚投资局（Libyan Investment Authority，LIA，由卡扎菲政权成立的主权财富基金，被认为用于隐匿和滥用利比亚的石油财富）的腐败成了优先项目。
Le Conseil National de Transition débat en ce moment sur l’instance qui doit prendre le relais de la Banque centrale de Libye et des actifs de la LIA - une décision particulièrement importante, étant donné que la production de pétrole ne devrait pas revenir à ses niveaux d'avant-guerre avant plusieurs années.	利比亚国家过渡委员会正在讨论由谁接手利比亚央行和LIA的资产。 这一决定非同小可，因为据估计，利比亚的石油产量在近几年内都不会回到战前水平。
Indépendamment de la façon dont le gouvernement libyen dirigera finalement la LIA, tous les fonds souverains - ainsi que leurs conseillers et leurs collecteurs de fonds - peuvent en tirer plusieurs leçons importantes.	不论利比亚政府最终决定如何处置LIA，世界所有主权财富基金（及其顾问和筹资人）都能从中吸取重要教益。
Bien sûr, on ne doit en aucun cas déduire du cas libyen que les autres fonds souverains riment en général avec la gangrène de la corruption et les conflits d'intérêt.	当然，我们不能从利比亚的例子中得出其他主权财富基金中也充满了腐败和利益冲突的结论。
La LIA a toujours été une exception : en effet, plusieurs indices de classement des fonds souverains sur la transparence, la responsabilisation et les questions de gouvernance n’ont traditionnellement classé que l'Iran à un rang inférieur à la Libye.	LIA永远是个特例；事实上，不少追踪各主权财富基金透明度、责任和治理的指数表明，比LIA还不如的只有伊朗了。
Pourtant, alors que les dossiers difficiles ont tendance à faire de mauvaises lois et qu’il est trop tôt pour juger, la LIA doit servir de signal d’alarme pour les sociétés et les fonds à la fois au Moyen-Orient et dans le monde entier.	但是，尽管疑难案例总是倾向于开启恶例，且现在下结论还为时过早，但LIA对中东和全世界的公司和基金来说仍不啻为一次警示。
Premièrement, les gouvernements devraient mieux préciser les sources de financement derrière chaque investissement particulier.	首先，政府应该更好地检查每个特定投资项目背后的资金来源。
Le financement privé qui s'avère être le financement public lié à la famille régnante, ou lié aux ministres du gouvernement, présente différents risques politiques et financiers et doivent donc être évalués différemment.	套着公共资金外衣、实际上来自统治家族或政府高官的私人资金具有不同的政治和财务风险，因此应该用不同的方法评估。
Deuxièmement, la crise libyenne a cristallisé le problème des actions d’entreprises appartenant à des gouvernements souverains.	其次，利比亚的危机表明，主权政府持有公司股份会造成很大问题。
Quand les États-Unis et l'Union européenne ont décidé d'imposer des sanctions au régime libyen, telles que le gel des actions détenues par la LIA dans les entreprises européennes et américaines, de nombreux dirigeants de ces sociétés ont été surpris par la façon radicale dont leurs entreprises ont été affectées par le régime de propriété.	当美国和欧盟决定对利比亚政权予以制裁的时候 — — 包括冻结LIA所持有的欧洲和美国公司股份 — — 许多涉案公司高管对所在公司所有权结构受到的影响大惊失色。
De toute évidence, la liquidité des actions et la perception d'un manque d’attention de la part des dirigeants d'entreprise soulève des questions de première importance.	显然，这些股份的流动性以及人们对公司管理层不胜任的觉察绝不是小事。
Troisièmement, la saga LIA souligne la probabilité d’un effet cumulatif des fonds souverains sur la stabilité des marchés mondiaux.	第三，LIA案例凸显了主权财富基金对全球市场稳定性的潜在积累效应。
Tous les fonds souverains peuvent répondre aux événements politiques mondiaux en retirant rapidement les fonds investis à l'étranger.	对于全球政治事件，所有主权财富基金的反应可能完全一样：迅速撤回海外投资资金。
Comme l'a révélé l’un des documents Wikileaks, les diplomates américains ont forcé le gouvernement libyen, pendant la crise financière, à conserver des fonds dans les banques américaines, et à investir directement dans une institution américaine en difficulté financière.	维基解密所披露的一份文件表明，金融危机期间，美国外交官游说利比亚政府不要抽离投资于美资银行的资金，还鼓动后者直接投资一家受困的美国金融机构。
Dans ce cas, les Libyens n'ont pas répondu en retirant une grande quantité de fonds, mais ceci pourrait arriver dans l'avenir.	在这个案例中，利比亚并没有大量抽回资金，但并不意味着未来不会出现主权财富基金大量撤资的情形。
Certains soutiennent que les gouvernements d'accueil et les pays hôtes des fonds souverains ont trop d'intérêts en commun - y compris la stabilité du système financier et le maintien du dollar américain comme monnaie de réserve mondiale - pour menacer les marchés mondiaux.	有人指出，主权财富基金的母国政府和东道国有着太多的共同利益 — — 包括金融体系的稳定性和维持美元的世界储备货币地位 — — 因此它们不会反应过度从而威胁到全球市场。
Cela est vrai en moyenne et en temps normal, mais qu'adviendrait-il si plusieurs fonds souverains, en réponse à l'incertitude et la volatilité soudaine, se retiraient en même temps pour des raisons diplomatiques ou commerciales?	这不无道理，在常态时大体上正是如此，但如果各国主权财富基金为了应对突发不确定性和市场波动，从而出于外交和商业原因同时撤资，事情又会如何？
Un comportement individuel rationnel est souvent collectivement suicidaire.	个体的理性行为经常会造成集体的自我毁灭。
Enfin, le cas libyen et la crise de la dette de Dubaï de 2009 pourraient accroître le soupçon dans le monde développé et le mener au protectionnisme envers les fonds souverains, en particulier ceux d'Afrique du Nord et du Golfe.	最后，利比亚案例和2009年的迪拜债务危机可能会增加发达国家的疑虑，导致针对主权财富基金（特别是来自北非和海湾地区者）的保护主义。
La libre circulation des capitaux des fonds souverains de ces régions, vers des sociétés dans les pays avancés, est cruciale pour équilibrer l'économie mondiale et pour fournir des liquidités aux marchés financiers, en particulier dans la perspective d'une nouvelle récession en Occident.	资本从这些地区向发达国家公司的自由流动是平衡全球经济、为金融市场提供流动性的关键，特别是在西方面临着另一场衰退的当口。
Les pays d’accueil tout autant que les pays hôtes devront s'assurer que le conflit actuel de la LIA n’entravera pas cet important processus.	母国和东道国都必须确保当前在LIA身上的冲突不会阻碍这一重要过程。
Mais sommes-nous justes quand nous comparons les fonds souverains des diverses régions en nous attendant à ce qu'ils adhèrent aux normes occidentales?	但我们这样比较不同地区的主权财富基金并要求它们遵循西方标准公平吗？
